id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
_1089628305073029121,_413318409,Essa família ❤️👈🏽 Niver de 84 anos de Rodrigo Velloso! Os irmãos @caetanoveloso e #MariaBethânia comemorando em… https://t.co/PSC3RiE79P,2019-01-27 20:56:46,None,,None,,602,84,163857,pt
_1346229293643403265,_583108053,É #FAKE! Este vídeo é de 2019 e não do Ano Novo de 2020/2021. #FakeNews https://t.co/PpuRajuqQQ,2021-01-04 22:57:29,None,,None,,3654,375,969428,pt
_1089628305073029121,_413318409,Essa família ❤️👈🏽 Niver de 84 anos de Rodrigo Velloso! Os irmãos @caetanoveloso e #MariaBethânia comemorando em… https://t.co/PSC3RiE79P,2019-01-27 20:56:46,None,,None,,602,84,163857,pt
_1346229293643403265,_583108053,É #FAKE! Este vídeo é de 2019 e não do Ano Novo de 2020/2021. #FakeNews https://t.co/PpuRajuqQQ,2021-01-04 22:57:29,None,,None,,3654,375,969428,pt
_1352559051641679872,_68712576,A única coisa que devo ter furado deve ter sido a mãe de quem divulga mais uma fakenews de nível global e diária! A… https://t.co/Vx7tJYhMQo,2021-01-22 10:09:41,None,,None,Rio de Janeiro-RJ,19390,3126,2075529,pt
_1352559051641679872,_68712576,A única coisa que devo ter furado deve ter sido a mãe de quem divulga mais uma fakenews de nível global e diária! A… https://t.co/Vx7tJYhMQo,2021-01-22 10:09:41,None,,None,Rio de Janeiro-RJ,19390,3126,2075529,pt
_1346229293643403265,_583108053,É #FAKE! Este vídeo é de 2019 e não do Ano Novo de 2020/2021. #FakeNews https://t.co/PpuRajuqQQ,2021-01-04 22:57:29,None,,None,,3654,375,969428,pt
_1344326604550529024,_30354991,Getting the COVID-19 vaccine will save your life. I have absolute confidence in our scientists and look forward to… https://t.co/RTzfkon3xJ,2020-12-30 16:56:53,None,,None,California,29611,3494,17353354,en
_1340376981444194304,_17061263,"זריקה קטנה לאדם  צעד ענק לבריאות של כולנו. 
**
בדרך לחיסון הערב חשבתי הערב על הילדים שדואגים להורים שלהם. 

על הנכד… https://t.co/aoHgigJy2I",2020-12-19 19:22:30,None,,None,Israel,1811,184,1872822,iw
_1340376981444194304,_17061263,"זריקה קטנה לאדם  צעד ענק לבריאות של כולנו. 
**
בדרך לחיסון הערב חשבתי הערב על הילדים שדואגים להורים שלהם. 

על הנכד… https://t.co/aoHgigJy2I",2020-12-19 19:22:30,None,,None,Israel,1811,184,1872822,iw
_314900979462045696,_138814032,Hoy  recibiendo la vacuna antigripal  gratuita  de la Campaña Nacional de Vacunación que empezamos el martes pasado. http://t.co/m6O4jYqKhU,2013-03-22 00:46:59,None,,None,Argentina,200,398,5963178,es
_314900979462045696,_138814032,Hoy  recibiendo la vacuna antigripal  gratuita  de la Campaña Nacional de Vacunación que empezamos el martes pasado. http://t.co/m6O4jYqKhU,2013-03-22 00:46:59,None,,None,Argentina,200,398,5963178,es
_1286994557440348160,_128372940,"- RT-PCR para Sars-Cov 2: negativo.
- BOM DIA A TODOS. https://t.co/CkdV59yGXP",2020-07-25 11:59:48,None,,None,Brasília  Brasil,86289,14954,6684167,pt
_1310601334211698688,_128372940,"- Sociedade Européia de Cardiologia afirma: o uso da Hidroxicloroquina não causa arritmia.
- Milhares de vidas pode… https://t.co/FJiAmawk6G",2020-09-28 15:24:42,None,,None,Brasília  Brasil,34992,9771,6684166,pt
_1286994557440348160,_128372940,"- RT-PCR para Sars-Cov 2: negativo.
- BOM DIA A TODOS. https://t.co/CkdV59yGXP",2020-07-25 11:59:48,None,,None,Brasília  Brasil,86289,14954,6684166,pt
_1310601334211698688,_128372940,"- Sociedade Européia de Cardiologia afirma: o uso da Hidroxicloroquina não causa arritmia.
- Milhares de vidas pode… https://t.co/FJiAmawk6G",2020-09-28 15:24:42,None,,None,Brasília  Brasil,34992,9771,6684166,pt
_1352590167220088835,_43041690,Tratamento precoce agora também nos Estados Unidos   Jornal Americano de Medicina recomenda Hidroxicloroquina e Azi… https://t.co/CrAZHxu93w,2021-01-22 12:13:20,None,,None,Porto Alegre  RS,0,0,775782,pt
_1352590167220088835,_43041690,Tratamento precoce agora também nos Estados Unidos   Jornal Americano de Medicina recomenda Hidroxicloroquina e Azi… https://t.co/CrAZHxu93w,2021-01-22 12:13:20,None,,None,Porto Alegre  RS,0,0,775782,pt
_1352559051641679872,_68712576,A única coisa que devo ter furado deve ter sido a mãe de quem divulga mais uma fakenews de nível global e diária! A… https://t.co/Vx7tJYhMQo,2021-01-22 10:09:41,None,,None,Rio de Janeiro-RJ,19390,3126,2075529,pt
_1339212219104579584,_43023158,Eu vou tomar a vacina  minha família vai tomar a vacina  recomendo que as pessoas tomem a vacina e ponto final.,2020-12-16 14:14:09,None,,None,Rio de Janeiro  Brasil,53772,1896,13233963,pt
_1310560229940228096,_14700117,"We are heading into flu season.
 
If you or someone you know is entitled to receive a flu jab  remember you can get… https://t.co/z9WByqaDIq",2020-09-28 12:41:22,None,,None,London,301,112,3265613,en
_314900979462045696,_138814032,Hoy  recibiendo la vacuna antigripal  gratuita  de la Campaña Nacional de Vacunación que empezamos el martes pasado. http://t.co/m6O4jYqKhU,2013-03-22 00:46:59,None,,None,Argentina,200,398,5963178,es
_1343943312089239553,_740672835899756544,La vicegob @Florelop inició el Plan Estratégico de Vacunación contra #COVID19 en el 🏥 Enrique Vera Barros. El dr. R… https://t.co/slPGszaCvx,2020-12-29 15:33:49,None,,None,La Rioja  Argentina,22,7,2868,es
_1343975402121924615,_740672835899756544,@RicBenedetti @JuanVergaralr Que lástima que un día tan importante para los argentinos se especule sobre la vacunac… https://t.co/7LU8tGSijq,2020-12-29 17:41:20,None,,None,La Rioja  Argentina,2,2,2868,es
_1343898499142852608,_235837456,#Ahora #LaRioja En el Hospital de Vera Barros también comenzaron con la vacunación.  En está ocasión fue vacunado e… https://t.co/7uOJRGkagu,2020-12-29 12:35:45,None,,None,La Rioja  Argentina,1,0,1894,es
_1343939389731254277,_1234454943362420738,Después de un año de mucho trabajo  comenzó la vacunación. Agradezco infinitamente a todo el personal de salud por… https://t.co/GFJl7Lz5HK,2020-12-29 15:18:14,None,,None,,86,16,5733,es
_1343943312089239553,_740672835899756544,La vicegob @Florelop inició el Plan Estratégico de Vacunación contra #COVID19 en el 🏥 Enrique Vera Barros. El dr. R… https://t.co/slPGszaCvx,2020-12-29 15:33:49,None,,None,La Rioja  Argentina,22,7,2868,es
_1339212219104579584,_43023158,Eu vou tomar a vacina  minha família vai tomar a vacina  recomendo que as pessoas tomem a vacina e ponto final.,2020-12-16 14:14:09,None,,None,Rio de Janeiro  Brasil,53772,1896,13233963,pt
_1349322450018906114,_43023158,Vacina: não importa a origem  nem quem a distribui. O foco é na eficácia científica. Se as agências regulatórias ap… https://t.co/cFfae0UNY5,2021-01-13 11:48:35,None,,None,Rio de Janeiro  Brasil,6137,296,13233963,pt
